,QueryName,ReleaseDate,RequiredAge,DLCCount,Metacritic,RecommendationCount,SteamSpyOwners,SteamSpyPlayersEstimate,AchievementCount,ControllerSupport,IsFree,SubscriptionAvail,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceCurrency,PriceInitial,PriceFinal,Reviews
0,Counter-Strike,Nov 1 2000,0,0,88,68991,13033334,9140731,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
1,Team Fortress Classic,Apr 1 1999,0,0,0,2439,5399140,753627,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
2,Day of Defeat,May 1 2003,0,0,79,2319,7621102,1709740,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
3,Deathmatch Classic,Jun 1 2001,0,0,0,888,7498965,789676,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
4,Half-Life: Opposing Force,Nov 1 1999,0,0,0,2934,5399499,705741,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
5,Ricochet,Nov 1 2000,0,0,0,1965,7488563,843481,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
6,Half-Life,Nov 8 1998,0,1,96,12486,5927504,2268772,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
7,Counter-Strike: Condition Zero,Mar 1 2004,0,0,65,7067,10489261,4127910,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
9,Half-Life: Blue Shift,Jun 1 2001,0,0,71,2219,5368650,662517,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
10,Half-Life 2,Nov 16 2004,0,1,96,35792,9901173,5695963,33,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
11,Counter-Strike: Source,Nov 1 2004,0,0,88,53931,15433570,11472993,147,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99, 
12,Half-Life: Source,Jun 1 2004,0,0,0,2547,2983660,695697,0,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
13,Day of Defeat: Source,Jul 12 2010,0,0,80,7185,6400269,2895778,54,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
14,Half-Life 2: Deathmatch,Nov 1 2004,0,0,0,4328,14001822,3598829,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
16,Half-Life Deathmatch: Source,May 1 2006,0,0,0,864,6796273,388292,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
17,Half-Life 2: Episode One,Jun 1 2006,0,1,87,4437,6298399,2478611,13,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,7.99,7.99, 
18,Portal,Oct 10 2007,0,1,90,27535,9795716,6864247,15,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
19,Half-Life 2: Episode Two,Oct 10 2007,0,1,90,6104,5735062,2240435,22,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,7.99,7.99, 
20,Team Fortress 2,Oct 10 2007,0,0,92,383949,37878812,37878812,520,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False, ,0.0,0.0, 
21,Left 4 Dead,Nov 17 2008,0,0,89,9980,4473517,3107949,73,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99, 
22,Left 4 Dead 2,Nov 16 2009,0,0,89,140726,15574539,13583400,70,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99, 
24,Portal 2,Apr 18 2011,0,1,95,73128,8741499,7282849,51,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,USD,19.99,19.99, 
27,Counter-Strike: Global Offensive,Aug 21 2012,0,0,83,1427633,25833156,25150372,167,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,14.99,14.99, 
28,Rag Doll Kung Fu,Oct 12 2005,0,0,69,0,35332,12913,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
29,Red Orchestra: Ostfront 41-45,Mar 14 2006,0,0,81,1220,940689,515451,44,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99,... RO is also one of the markets most unique new shooters4/5 Stars - GamespyTripwires attention to accessible realism is unrivaled- Computer Gaming WorldRed Orchestra offers exactly the right mixture of action and realism- PC PowerPlayRed Orchestra scores Best Multiplayer Game for 2006 over at VooDoo Extreme.Read the full review here.
30,Killing Floor,May 14 2009,17,21,72,44364,3496958,2989220,285,False,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99, 
31,SiN Episodes: Emergence,May 10 2006,0,0,75,385,219883,69767,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
34,Darwinia,Jul 14 2005,0,0,84,444,674354,214861,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
35,Uplink,Aug 23 2006,0,0,75,1240,728339,314938,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
36,DEFCON,Sep 29 2006,0,0,84,1655,811736,451423,22,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
37,Multiwinia,Sep 19 2008,0,0,76,340,619832,139534,12,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
38,Dangerous Waters,Feb 7 2006,0,0,82,112,53087,22957,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,14.99,14.99, 
39,Space Empires IV Deluxe,Feb 7 2006,0,0,79,0,69946,31566,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
40,Jagged Alliance 2,Jul 6 2006,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,19.99,19.99, 
41,Disciples II: Rise of the Elves,Jul 6 2006,0,0,80,299,106175,48783,0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,6.49,6.49, 
42,Disciples II: Gallean's Return,Jul 6 2006,0,0,84,400,113708,60800,0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,6.49,6.49, 
43,Iron Warriors: T-72 Tank Command,Jul 26 2006,0,0,56,210,43403,17218,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99, 
44,Space Empires V,Oct 16 2006,0,0,68,204,69408,38740,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,14.99,14.99, 
